Abbey Street 	1359230/abbey-street-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Abbotsford Court 	1359231/abbotsford-court-	https://www.edinburgh.gov.uk/downloads/file/30121/garden-waste-calendar-friday-1	friday-1
Abbotsford Crescent 	1359232/abbotsford-crescent-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Abbotsford Park 	1359233/abbotsford-park-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Abercorn Avenue 	1359234/abercorn-avenue-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Abercorn Crescent 	1359235/abercorn-crescent-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Abercorn Drive 	1359236/abercorn-drive-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Abercorn Gardens 	1359237/abercorn-gardens-	https://www.edinburgh.gov.uk/downloads/file/30115/garden-waste-calendar-tuesday-1	tuesday-1
Abercorn Grove 	1359238/abercorn-grove-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Abercorn Road 	1359239/abercorn-road-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Abercorn Terrace 	1359240/abercorn-terrace-	https://www.edinburgh.gov.uk/downloads/file/30115/garden-waste-calendar-tuesday-1	tuesday-1
Abercromby Place 	1359241/abercromby-place-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Abinger Gardens 	1359242/abinger-gardens-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Achnacarry Street 	1359243/achnacarry-street-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Adams Well 	1359244/adams-well-	https://www.edinburgh.gov.uk/downloads/file/30121/garden-waste-calendar-friday-1	friday-1
Adamslaw Place 	1359245/adamslaw-place-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Addiston Crescent 	1359246/addiston-crescent-	https://www.edinburgh.gov.uk/downloads/file/30121/garden-waste-calendar-friday-1	friday-1
Addiston Farm Road 	1359247/addiston-farm-road-	https://www.edinburgh.gov.uk/downloads/file/30115/garden-waste-calendar-tuesday-1	tuesday-1
Addiston Grove 	1359248/addiston-grove-	https://www.edinburgh.gov.uk/downloads/file/30121/garden-waste-calendar-friday-1	friday-1
Addiston Park 	1359249/addiston-park-	https://www.edinburgh.gov.uk/downloads/file/30121/garden-waste-calendar-friday-1	friday-1
Adelphi Grove 	1359250/adelphi-grove-	https://www.edinburgh.gov.uk/downloads/file/30122/garden-waste-calendar-friday-2	friday-2
Adelphi Place 	1359251/adelphi-place-	https://www.edinburgh.gov.uk/downloads/file/30122/garden-waste-calendar-friday-2	friday-2
Adit Place 	1359252/adit-place-	https://www.edinburgh.gov.uk/downloads/file/30120/garden-waste-calendar-thursday-2	thursday-2
Admiral Terrace 	1359253/admiral-terrace-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Affleck Court 	1359254/affleck-court-	https://www.edinburgh.gov.uk/downloads/file/30122/garden-waste-calendar-friday-2	friday-2
Afton Place 	1359255/afton-place-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Afton Terrace 	1359256/afton-terrace-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Ainslie Place 	1359257/ainslie-place-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Aitchison's Place 	1359258/aitchison-s-place-	https://www.edinburgh.gov.uk/downloads/file/30122/garden-waste-calendar-friday-2	friday-2
Alan Breck Gardens 	1359259/alan-breck-gardens-	https://www.edinburgh.gov.uk/downloads/file/30120/garden-waste-calendar-thursday-2	thursday-2
Albany Street 	1359260/albany-street-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Albert Terrace 	1359261/albert-terrace-	https://www.edinburgh.gov.uk/downloads/file/30121/garden-waste-calendar-friday-1	friday-1
Albion Place 	1359262/albion-place-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Albion Road 	1359263/albion-road-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Albion Terrace 	1359264/albion-terrace-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Alcorn Square 	1359265/alcorn-square-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alderbank Gardens 	1359266/alderbank-gardens-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Alderbank Place 	1359267/alderbank-place-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Alderbank Terrace 	1359268/alderbank-terrace-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Alemoor Crescent 	1359269/alemoor-crescent-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Alemoor Park 	1359270/alemoor-park-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Alexander Drive 	1359271/alexander-drive-	https://www.edinburgh.gov.uk/downloads/file/30122/garden-waste-calendar-friday-2	friday-2
Alfred Place 	1359272/alfred-place-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Allan Park 	1359273/allan-park-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Allan Park Crescent 	1359274/allan-park-crescent-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Allan Park Drive 	1359275/allan-park-drive-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Allan Park Gardens 	1359276/allan-park-gardens-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Allan Park Loan 	1359277/allan-park-loan-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Allan Park Road 	1359278/allan-park-road-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Allison Place 	1359279/allison-place-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Alloway Loan 	1359280/alloway-loan-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Almond Bank Cottages 	1359281/almond-bank-cottages-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Almond Green 	1359282/almond-green-	https://www.edinburgh.gov.uk/downloads/file/30122/garden-waste-calendar-friday-2	friday-2
Almond Grove 	1359283/almond-grove-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Almond Square 	1359284/almond-square-	https://www.edinburgh.gov.uk/downloads/file/30122/garden-waste-calendar-friday-2	friday-2
Almondbank Terrace 	1359285/almondbank-terrace-	https://www.edinburgh.gov.uk/downloads/file/30117/garden-waste-calendar-wednesday-1	wednesday-1
Almondhill 	1359286/almondhill-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Almondhill Road 	1359287/almondhill-road-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Almondhill Steading 	1359288/almondhill-steading-	https://www.edinburgh.gov.uk/downloads/file/30116/garden-waste-calendar-tuesday-2	tuesday-2
Almondside 	1359289/almondside-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Alnwickhill Court 	1359290/alnwickhill-court-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill Crescent 	1359291/alnwickhill-crescent-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill Drive 	1359292/alnwickhill-drive-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill Gardens 	1359293/alnwickhill-gardens-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill Grove 	1359294/alnwickhill-grove-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill Loan 	1359295/alnwickhill-loan-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill Park 	1359296/alnwickhill-park-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill Terrace 	1359299/alnwickhill-terrace-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alnwickhill View 	1359300/alnwickhill-view-	https://www.edinburgh.gov.uk/downloads/file/30118/garden-waste-calendar-wednesday-2	wednesday-2
Alva Place 	1359301/alva-place-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Andrew Balfour Grove 	1359302/andrew-balfour-grove-	https://www.edinburgh.gov.uk/downloads/file/30119/garden-waste-calendar-thursday-1	thursday-1
Angle Park Terrace 	1359303/angle-park-terrace-	https://www.edinburgh.gov.uk/downloads/file/30121/garden-waste-calendar-friday-1	friday-1
